Категория,Грейд,Требование
"QA","Trainee/Intern","Локация: Беларусь (Минск, Гомель, Витебск, Брест, Полоцк, Могилев) и Грузия (Батуми)"
"QA","Trainee/Intern","Разговорный английский или немецкий от уровня B1+"
"QA","Trainee/Intern","Законченные курсы по тестированию ПО"
"QA","Trainee/Intern","Теоретические знания основ тестирования ПО"
"QA","Trainee/Intern","Общее представление о методологиях разработки ПО"
"QA","Trainee/Intern","Понимание работы ОС, браузеров, инструментов Dev Tools, общих принципов работы интернета и ПО в целом."
"QA","Junior/Middle","Знания и опыт с функциональным и нефункциональным тестированием: web, mobile, desktop, тестирование UI, API/веб-сервисов"
"QA","Junior/Middle","Понимание жизненного цикла проекта и места QA в этом цикле"
"QA","Junior/Middle","Опыт работы с различными баг-трекинговыми и тест трекинговыми системами"
"QA","Junior/Middle","Опыт работы с тестовой документацией (тест-план, стратегии тестирования, чек-листы, тест-кейсы, use cases)"
"QA","Junior/Middle","Опыт ведения проектов с различными Agile методологиями разработки ПО (SCRUM, Scrum-Kanban)"
"QA","Junior/Middle","Опыт работы с требованиями и макетами"
"QA","Junior/Middle","Знание и опыт работы с инструменты для тестирования (Browser Dev tools, Fiddler, различные online services)"
"QA","Junior/Middle","Опыт в оценке задач на тестирование"
"QA","Junior/Middle","Понимание виртуализации: для чего и как используются виртуальные ресурсы для тестирования и знать, какое для этого есть программное обеспечение (VMWare, Hyper-V, Virtrualbox, docker etc)"
"QA","Junior/Middle","Владение разговорным английским от уровня В2."
"QA","Junior/Middle","Будет плюсом: опыт работы с базами данных"
"QA","Junior/Middle","Будет плюсом: опыт менторинга"
"QA","Junior/Middle","Будет плюсом: разговорный немецкий язык от уровня В2."
"QA","Senior","Знания и опыт с функциональным и нефункциональным тестированием: web, mobile, desktop, тестирование UI/веб-сервисов, API"
"QA","Senior","Понимание жизненного цикла проекта и места QA в этом цикле"
"QA","Senior","Знания и опыт работы с базами данных"
"QA","Senior","Опыт работы с различными баг-трекинговыми и тест-трекинговыми системами"
"QA","Senior","Опыт работы с тестовой документацией (тест-план, стратегии тестирования, чек-листы, тест-кейсы, use cases)"
"QA","Senior","Опыт ведения проектов с различными Agile методологиями разработки ПО (SCRUM, Scrum-Kanban)"
"QA","Senior","Опыт работы с требованиями и макетами."
"QA","Senior","Знание и опыт работы с инструменты для тестирования (Browser Dev tools, Fiddler, различные online services)"
"QA","Senior","Опыт менторинга"
"QA","Senior","Опыт выстраивания процессов тестирования на проекте с нуля"
"QA","Senior","Опыт составления отчетов по качеству"
"QA","Senior","Опыт в оценке задач на тестирование"
"QA","Senior","Понимание CI/CD систем"
"QA","Senior","Знание основных архитектур построения информационных систем"
"QA","Senior","Понимание виртуализации: для чего и как используются виртуальные ресурсы для тестирования и знать, какое для этого есть программное обеспечение (VMWare, Hyper-V, Virtrualbox, docker etc)"
"QA","Senior","Знание сетевых протоколов (http/https, TCP/IP)"
"QA","Senior","Будет плюсом: опыт управления командой или опыт лида на проекте/направлении."
"AQA","Trainee/Intern","Локация: Минск, Витебск, Гомель, Могилев, Брест, Полоцк, Варшава"
"AQA","Trainee/Intern","Разговорный английский или немецкий от уровня B1+"
"AQA","Trainee/Intern","Уверенные знания программирования на JS/Java/Python"
"AQA","Junior","Автоматизация тестирования web (опционально: мобильных приложений, desktop, тестирование АРГ), используя следующие языки программирования: (JavaScript, Java, Python, C#)"
"AQA","Junior","Знание паттернов автоматизации тестирования"
"AQA","Junior","Опыт работы с CICD системами"
"AQA","Junior","Знание и опыт работы с системами тест-репортинга"
"AQA","Junior","Опыт работы с CVS (системами контроля версий)"
"AQA","Junior","Опыт ведения проектов с различными методологиями разработки ПО (классические, SCRUM, Kanban)"
"AQA","Junior","Четкое понимание жизненного цикла проекта и места QA в этом цикле"
"AQA","Junior","Опыт работы с различными баг-трекинговыми и тест трекинговыми системами"
"AQA","Junior","Уровень владения английским языком Intermediate+ (предпочтительно Upper Intermediate и выше)."
"AQA","Junior","Будет плюсом: опыт создания скриптов для работы со сторонними объектами"
"AQA","Junior","Будет плюсом: опыт работы со скриптовыми языками (powershell, bash)"
"AQA","Junior","Будет плюсом: понимание баз данных и знание SQL"
"AQA","Junior","Будет плюсом: знание инструментов для тестирования АРІ."
"AQA","Middle","Автоматизация тестирования web (опционально: мобильных приложений, desktop, тестирование АРІ), используя следующие языки программирования: (JavaScript, Java, Python, C#)"
"AQA","Middle","Знание паттернов автоматизации тестирования"
"AQA","Middle","Опыт создание фреймворка для автоматизации тестирования"
"AQA","Middle","Опыт работы с CRCD системами"
"AQA","Middle","Знание и опыт работы с системами тест репортинга"
"AQA","Middle","Опыт работы с CVS (системами контроля версий)"
"AQA","Middle","Знание рабочего процесса при работе с ветвями"
"AQA","Middle","Опыт ведения проектов с различными методологиями разработки ПО (классические, SCRUM, Kanban)"
"AQA","Middle","Четкое понимание жизненного цикла проекта и места QA в этом цикле"
"AQA","Middle","Понимание баз данных и знание SQL"
"AQA","Middle","Опыт работы с различными баг-трекинговыми и тест трекинговыми системами"
"AQA","Middle","Знание инструментов для тестирования АРІ"
"AQA","Middle","Уровень владения английским языком Intermediate (предпочтительно Upper-Intermediate и выше)."
"AQA","Middle","Будет плюсом: опыт создания скриптов для работы со сторонними объектами"
"AQA","Middle","Будет плюсом: опыт работы со скриптовыми языками (powershell, bash)"
"AQA","Middle","Будет плюсом: умение определять оптимальные инструменты и подходы для автоматизации"
"AQA","Middle","Будет плюсом: опыт менторинга"
"AQA","Middle","Будет плюсом: опыт определения тестового покрыти."
"AQA","Senior","Автоматизация тестирования web (опционально мобильных приложений, desktop, тестирование API) используя следующие языки программирования: (JavaScript, Java, Python, C#)"
"AQA","Senior","Знание паттернов автоматизации тестирования"
"AQA","Senior","Опыт создание фреймворка для автоматизации тестирования"
"AQA","Senior","Создание скриптов для работы со сторонними объектами"
"AQA","Senior","Опыт работы со скриптовыми языками (powershell, bash)"
"AQA","Senior","Опыт работы с CI/CD системами"
"AQA","Senior","Умение выстроить автоматизацию на проекте с нуля"
"AQA","Senior","Знание и опыт работы с системами тест-репортинга"
"AQA","Senior","Опыт менторинга"
"AQA","Senior","Опыт работы с CVS (системами контроля версий)"
"AQA","Senior","Знание рабочего процесса при работе с ветвями"
"AQA","Senior","Опыт ведения проектов с различными методологиями разработки ПО (классические, SCRUM, Kanban)"
"AQA","Senior","Понимание жизненного цикла проекта и места QA в этом цикле"
"AQA","Senior","Понимание баз данных и знание SQL"
"AQA","Senior","Опыт работы с различными баг-трекинговыми и тест-трекинговыми системами"
"AQA","Senior","Знание инструментов для тестирования API"
"AQA","Senior","Знание основных архитектур построения информационных систем"
"AQA","Senior","Понимание виртуализации: для чего и как используются виртуальные ресурсы для тестирования и знать, какое для этого есть программное обеспечение (VMWare, Hyper-V, Virtrualbox, docker etc)"
"AQA","Senior","Знание сетевых протоколов"
"AQA","Senior","Уровень владения английским языком Intermediate (предпочтительно Upper-Intermediate и выше)."